"date" "group" "index" "return2006"
"51" 2001-07-01 "Equity Analysts" 0.000817228724105693 NA
"52" 2001-10-01 "Equity Analysts" 0.0011177853045463 NA
"53" 2002-01-01 "Equity Analysts" 0.00241592381369022 NA
"54" 2002-04-01 "Equity Analysts" 0.00461813899603908 NA
"55" 2002-07-01 "Equity Analysts" 0.007352520857691 NA
"56" 2002-10-01 "Equity Analysts" 0.00974372991544008 NA
"57" 2003-01-01 "Equity Analysts" 0.0114403077631636 NA
"58" 2003-04-01 "Equity Analysts" 0.0134748798855433 NA
"59" 2003-07-01 "Equity Analysts" 0.0168628251275055 NA
"60" 2003-10-01 "Equity Analysts" 0.0222256631339546 NA
"61" 2004-01-01 "Equity Analysts" 0.0270963953650149 NA
"62" 2004-04-01 "Equity Analysts" 0.0323613151264256 NA
"63" 2004-07-01 "Equity Analysts" 0.0387582913846917 NA
"64" 2004-10-01 "Equity Analysts" 0.0445318319217077 NA
"65" 2005-01-01 "Equity Analysts" 0.0512826564431527 NA
"66" 2005-04-01 "Equity Analysts" 0.0593333975942668 NA
"67" 2005-07-01 "Equity Analysts" 0.064722828896991 NA
"68" 2005-10-01 "Equity Analysts" 0.0683723973228905 NA
"69" 2006-01-01 "Equity Analysts" 0.0692776803843505 NA
"70" 2006-04-01 "Equity Analysts" 0.0679871848146018 NA
"71" 2006-07-01 "Equity Analysts" 0.0635342664319413 NA
"72" 2006-10-01 "Equity Analysts" 0.0595966708924138 0
"73" 2007-01-01 "Equity Analysts" 0.0567393952835685 0.00732027996929047
"74" 2007-04-01 "Equity Analysts" 0.0538658699913054 0.0148018314594146
"75" 2007-07-01 "Equity Analysts" 0.0488770564630635 0.0192928805129794
"76" 2007-10-01 "Equity Analysts" 0.0409509635317145 0.0169984513613891
"77" 2008-01-01 "Equity Analysts" 0.0311719892905349 0.0100737000183179
"78" 2008-04-01 "Equity Analysts" 0.0235311473514362 0.00258271994090001
"79" 2008-07-01 "Equity Analysts" 0.0129179790702208 -0.00603696230754196
"80" 2008-10-01 "Equity Analysts" 0.0021670098429667 -0.0180703402929696
"81" 2009-01-01 "Equity Analysts" -0.0107601908746176 -0.0362524505805709
"82" 2009-04-01 "Equity Analysts" -0.0167544721439892 -0.043837844474034
"83" 2009-07-01 "Equity Analysts" -0.0159525610898528 -0.0420165017979055
"84" 2009-10-01 "Equity Analysts" -0.0185244694193246 -0.0430420107925335
"85" 2010-01-01 "Equity Analysts" -0.0197697971584161 -0.0450726834306417
"86" 2010-04-01 "Equity Analysts" -0.0205238960556949 -0.0457453313446006
"87" 2010-07-01 "Equity Analysts" -0.017207712852121 -0.0426494192728228
"88" 2010-10-01 "Equity Analysts" -0.0198528397163637 -0.0456953438089517
"89" 2000-01-01 "Lawyers" 0 NA
"90" 2000-04-01 "Lawyers" 2.26739276647105e-05 NA
"91" 2000-07-01 "Lawyers" 0.000234347376282058 NA
"92" 2000-10-01 "Lawyers" 0.000422010565860172 NA
"93" 2001-01-01 "Lawyers" 0.000637957841531491 NA
"94" 2001-04-01 "Lawyers" 0.000957597309017498 NA
"95" 2001-07-01 "Lawyers" 0.00149952013869155 NA
"96" 2001-10-01 "Lawyers" 0.00216177640158775 NA
"97" 2002-01-01 "Lawyers" 0.00316502242653848 NA
"98" 2002-04-01 "Lawyers" 0.00467680473152777 NA
"99" 2002-07-01 "Lawyers" 0.00682134248200889 NA
"100" 2002-10-01 "Lawyers" 0.00933933671633476 NA
"101" 2003-01-01 "Lawyers" 0.0117326482094556 NA
"102" 2003-04-01 "Lawyers" 0.0140571024319299 NA
"103" 2003-07-01 "Lawyers" 0.017371855130867 NA
"104" 2003-10-01 "Lawyers" 0.0231138304295791 NA
"105" 2004-01-01 "Lawyers" 0.0304312007377909 NA
"106" 2004-04-01 "Lawyers" 0.0363285705383711 NA
"107" 2004-07-01 "Lawyers" 0.0410216173719344 NA
"108" 2004-10-01 "Lawyers" 0.0470880790414406 NA
"109" 2005-01-01 "Lawyers" 0.0545657509092309 NA
"110" 2005-04-01 "Lawyers" 0.0622859135149008 NA
"111" 2005-07-01 "Lawyers" 0.068956643194167 NA
"112" 2005-10-01 "Lawyers" 0.0740481830572814 NA
"113" 2006-01-01 "Lawyers" 0.0768836856040879 NA
"114" 2006-04-01 "Lawyers" 0.076788984945036 NA
"115" 2006-07-01 "Lawyers" 0.0735615654231248 NA
"116" 2006-10-01 "Lawyers" 0.0697911453125488 0
"117" 2007-01-01 "Lawyers" 0.0667304460641346 0.00482022058180899
"118" 2007-04-01 "Lawyers" 0.0626633894910969 0.0092257105204783
"119" 2007-07-01 "Lawyers" 0.0557576998912735 0.00876574144786159
"120" 2007-10-01 "Lawyers" 0.0441393100372047 -0.000331830775213044
"121" 2008-01-01 "Lawyers" 0.031504357562292 -0.0145743732544454
"122" 2008-04-01 "Lawyers" 0.0226108529242381 -0.0267310641016245
"123" 2008-07-01 "Lawyers" 0.0134794452443151 -0.036512598265501
"124" 2008-10-01 "Lawyers" 0.00105055408102217 -0.0520119079791146
"125" 2009-01-01 "Lawyers" -0.0121790066756697 -0.0712926974661982
"126" 2009-04-01 "Lawyers" -0.0177490733172476 -0.0793897464652405
"127" 2009-07-01 "Lawyers" -0.0155367518321947 -0.0763032027413648
"128" 2009-10-01 "Lawyers" -0.0145290464819683 -0.073627472626557
"129" 2010-01-01 "Lawyers" -0.0151888132769286 -0.0751836033664187
"130" 2010-04-01 "Lawyers" -0.0157405834294977 -0.0760820171946782
"131" 2010-07-01 "Lawyers" -0.0161029705583433 -0.0765671337894761
"132" 2010-10-01 "Lawyers" -0.0198198810394887 -0.0813557079951852
